id,screen_name,created_at,retweeted,text
1409384394758836225,djkhaled,2021-06-28 05:33:19+00:00,False,"SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . #EVERYCHANCEIGET 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/dHEopLZwla"
1409265576417976322,djkhaled,2021-06-27 21:41:10+00:00,False,"Greatness talk #EVERYCHANCEIGET 
@djkhaled @lilbaby @lildurk 
Thank you @recordingacademy for having me !… https://t.co/nLvsBEiU3W"
1407767748294348803,djkhaled,2021-06-23 18:29:20+00:00,False,"Thank u ! 
Working on a new book you going love it each 🔑 leads to the next 🔑 . https://t.co/OPOd8XmnxJ"
1407740623151579137,djkhaled,2021-06-23 16:41:33+00:00,False,4 years ago I was very blessed to give the world 🌎 #GRATEFUL WIT THE BIGGEST ANTHEMS LIKE #WILDTHOUGHTS #IMTHEONE… https://t.co/103QRnlO0i
1407400292790980616,djkhaled,2021-06-22 18:09:12+00:00,False,"JUNE 29 ! #DGxKHALEDKHALED WILL BE IN STORES WORLD 🌎 WIDE JUNE 29 ! 
In every @dolcegabbana store 🏬 tell em KHALED… https://t.co/yWgNNd4hMO"
1406683247313031168,djkhaled,2021-06-20 18:39:55+00:00,False,Happy Father’s Day from the khaled family and @VibeMagazine https://t.co/XK7c7Huvht
1406066383067156482,djkhaled,2021-06-19 01:48:43+00:00,False,Thank u https://t.co/JSV1ODnnLR
1406007099751030792,djkhaled,2021-06-18 21:53:09+00:00,False,"THANK YOU 🤲🏽
#WETHEBEST ⭐️ https://t.co/PUVzWVyLKa"
1404566047760556032,djkhaled,2021-06-14 22:26:56+00:00,False,"#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk @taykeith @riaa_awards… https://t.co/o1h1CJx59a"
1404565886535614470,djkhaled,2021-06-14 22:26:17+00:00,False,"#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk @taykeith @riaa_awards… https://t.co/zczJgDCvEk"
1404565818826969101,djkhaled,2021-06-14 22:26:01+00:00,False,"#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk @taykeith @riaa_awards… https://t.co/0hDchJoIJs"
1404565000182763520,djkhaled,2021-06-14 22:22:46+00:00,False,"Bless up all the fans #EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk… https://t.co/PwBtGuJoVl"
1404558941628026882,djkhaled,2021-06-14 21:58:41+00:00,False,"Bless up all the fans #EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆
@djkhaled @lilbaby @lildurk @taykeith… https://t.co/qn6Y3lR7Hs"
1404511998893821953,djkhaled,2021-06-14 18:52:09+00:00,False,🔥🔥🔥🔥🔥🔥🔥 https://t.co/sGivkjmHp7
1404113497278095365,djkhaled,2021-06-13 16:28:39+00:00,False,Let’s go !!!!! Let’s go even harder everyone stream #Culture3 now let’s go !!!! https://t.co/KMz478NfOk
1403957976076111876,djkhaled,2021-06-13 06:10:40+00:00,False,https://t.co/OZpHBPGpZt
1403957913794850816,djkhaled,2021-06-13 06:10:25+00:00,False,https://t.co/vCTvVAK9ib
1403957646751830029,djkhaled,2021-06-13 06:09:21+00:00,False,🎶🥊 fun night https://t.co/9wUI9ompPB
1403957332904747009,djkhaled,2021-06-13 06:08:07+00:00,False,https://t.co/xXMEjjLFOk
